Var.1,Icon,Temp,Wind,Precip,Cloud,Humidity,Pressure
Fri.12 0.00.am,,75.6f,6.7 mph,0.01 in,71%,90%,29.8 in
Fri.12 3.00.am,,75.2f,7.6 mph,0.02 in,73%,90%,29.7 in
Fri.12 6.00.am,,75.6f,8.3 mph,0.04 in,79%,89%,29.8 in
Fri.12 9.00.am,,81.5f,10.3 mph,0.04 in,56%,78%,29.8 in
Fri.12 12.00.pm,,84.2f,11.2 mph,0.04 in,57%,74%,29.8 in
Fri.12 3.00.pm,,82.9f,10.3 mph,0.05 in,70%,77%,29.7 in
Fri.12 6.00.pm,,77.0f,6.9 mph,0.04 in,79%,87%,29.8 in
Fri.12 8.00.pm,,76.3f,5.8 mph,0.09 in,72%,88%,29.8 in
Fri.120.00.am,,75.6f,6.7 mph,0.01 in,71%,90%,29.8 in
Fri.123.00.am,,75.2f,7.6 mph,0.02 in,73%,90%,29.7 in
Fri.126.00.am,,75.6f,8.3 mph,0.04 in,79%,89%,29.8 in
Fri.129.00.am,,81.5f,10.3 mph,0.04 in,56%,78%,29.8 in
Fri.1212.00.pm,,84.2f,11.2 mph,0.04 in,57%,74%,29.8 in
Fri.123.00.pm,,82.9f,10.3 mph,0.05 in,70%,77%,29.7 in
Fri.126.00.pm,,77.0f,6.9 mph,0.04 in,79%,87%,29.8 in
Fri.128.00.pm,,76.3f,5.8 mph,0.09 in,72%,88%,29.8 in
Fri.120.00.am,,75.6f,6.7 mph,0.01 in,71%,90%,29.8 in
Fri.123.00.am,,75.2f,7.6 mph,0.02 in,73%,90%,29.7 in
Fri.126.00.am,,75.6f,8.3 mph,0.04 in,79%,89%,29.8 in
Fri.129.00.am,,81.5f,10.3 mph,0.04 in,56%,78%,29.8 in
Fri.1212.00.pm,,84.2f,11.2 mph,0.04 in,57%,74%,29.8 in
Fri.123.00.pm,,82.9f,10.3 mph,0.05 in,70%,77%,29.7 in
Fri.126.00.pm,,77.0f,6.9 mph,0.04 in,79%,87%,29.8 in
Fri.128.00.pm,,76.3f,5.8 mph,0.09 in,72%,88%,29.8 in
Fri.120.00.am,,75.6f,6.7 mph,0.01 in,71%,90%,29.8 in
Fri.123.00.am,,75.2f,7.6 mph,0.02 in,73%,90%,29.7 in
Fri.126.00.am,,75.6f,8.3 mph,0.04 in,79%,89%,29.8 in
Fri.129.00.am,,81.3f,11.9 mph,0.07 in,52%,82%,29.8 in
Fri.1212.00.pm,,82.9f,12.1 mph,0.07 in,73%,80%,29.8 in
Fri.123.00.pm,,82.2f,9.6 mph,0.06 in,88%,82%,29.7 in
Fri.126.00.pm,,77.0f,6.5 mph,0.04 in,52%,88%,29.8 in
Fri.128.00.pm,,75.9f,5.4 mph,0.11 in,75%,90%,29.8 in
Sat.130.00.am,,74.7f,3.8 mph,0.02 in,81%,92%,29.8 in
Sat.133.00.am,,74.5f,3.4 mph,0.03 in,100%,92%,29.8 in
Sat.136.00.am,,74.5f,0.4 mph,0.05 in,100%,92%,29.8 in
Sat.139.00.am,,75.4f,5.6 mph,0.20 in,100%,97%,29.9 in
Sat.1312.00.pm,,77.2f,9.2 mph,0.20 in,100%,94%,29.8 in
Sat.133.00.pm,,76.6f,5.8 mph,0.15 in,100%,95%,29.8 in
Sat.136.00.pm,,76.1f,6.7 mph,0.07 in,100%,94%,29.8 in
Sat.138.00.pm,,76.8f,8.9 mph,0.23 in,100%,92%,29.9 in
Sat.130.00.am,,75.0f,3.4 mph,0.06 in,100%,92%,29.8 in
Sat.133.00.am,,75.2f,4.7 mph,0.05 in,100%,92%,29.8 in
Sat.136.00.am,,75.4f,4.5 mph,0.08 in,100%,92%,29.8 in
Sat.139.00.am,,74.8f,2.9 mph,0.21 in,100%,97%,29.9 in
Sat.1312.00.pm,,75.0f,8.7 mph,0.79 in,100%,97%,29.8 in
Sat.133.00.pm,,77.9f,8.7 mph,0.31 in,91%,92%,29.8 in
Sat.136.00.pm,,77.9f,10.7 mph,0.13 in,95%,91%,29.8 in
Sat.138.00.pm,,77.2f,8.5 mph,0.32 in,87%,90%,29.9 in
Sat.130.00.am,,75.0f,3.4 mph,0.06 in,100%,92%,29.8 in
Sat.133.00.am,,75.2f,4.7 mph,0.05 in,100%,92%,29.8 in
Sat.136.00.am,,75.4f,4.5 mph,0.08 in,100%,92%,29.8 in
Sat.139.00.am,,76.1f,9.2 mph,0.25 in,100%,96%,29.9 in
Sat.1312.00.pm,,75.7f,11.4 mph,0.76 in,100%,97%,29.8 in
Sat.133.00.pm,,78.3f,10.3 mph,0.40 in,100%,90%,29.8 in
Sat.136.00.pm,,77.9f,12.1 mph,0.09 in,100%,88%,29.8 in
Sat.138.00.pm,,77.5f,9.2 mph,0.28 in,87%,88%,29.9 in
Sat.130.00.am,,75.0f,3.4 mph,0.06 in,100%,92%,29.8 in
Sat.133.00.am,,75.2f,4.7 mph,0.05 in,100%,92%,29.8 in
Sat.136.00.am,,75.4f,4.5 mph,0.08 in,100%,92%,29.8 in
Sat.139.00.am,,76.1f,9.2 mph,0.25 in,100%,96%,29.9 in
Sat.1312.00.pm,,75.7f,11.4 mph,0.76 in,100%,97%,29.8 in
Sat.133.00.pm,,78.3f,10.3 mph,0.40 in,100%,90%,29.8 in
Sat.136.00.pm,,77.9f,12.1 mph,0.09 in,100%,88%,29.8 in
Sat.138.00.pm,,77.5f,9.2 mph,0.28 in,87%,88%,29.9 in
Sat.130.00.am,,75.0f,3.4 mph,0.06 in,100%,92%,29.8 in
Sat.133.00.am,,75.2f,4.7 mph,0.05 in,100%,92%,29.8 in
Sat.136.00.am,,75.4f,4.5 mph,0.08 in,100%,92%,29.8 in
Sat.139.00.am,,76.1f,9.2 mph,0.25 in,100%,96%,29.9 in
Sat.1312.00.pm,,75.7f,11.4 mph,0.76 in,100%,97%,29.8 in
Sat.133.00.pm,,78.3f,10.3 mph,0.40 in,100%,90%,29.8 in
Sat.136.00.pm,,77.9f,12.1 mph,0.09 in,100%,88%,29.8 in
Sat.138.00.pm,,77.5f,9.2 mph,0.28 in,87%,88%,29.9 in
Sat.130.00.am,,75.0f,3.4 mph,0.06 in,100%,92%,29.8 in
Sat.133.00.am,,75.2f,4.7 mph,0.05 in,100%,92%,29.8 in
Sat.136.00.am,,75.4f,4.5 mph,0.08 in,100%,92%,29.8 in
Sat.139.00.am,,76.1f,9.2 mph,0.25 in,100%,96%,29.9 in
Sat.1312.00.pm,,75.7f,11.4 mph,0.76 in,100%,97%,29.8 in
Sat.133.00.pm,,78.1f,6.5 mph,0.28 in,89%,91%,29.8 in
Sat.136.00.pm,,77.0f,9.2 mph,0.08 in,63%,90%,29.8 in
Sat.138.00.pm,,76.6f,6.5 mph,0.21 in,76%,90%,29.9 in
Sat.130.00.am,,75.0f,3.4 mph,0.06 in,100%,92%,29.8 in
Sat.133.00.am,,75.2f,4.7 mph,0.05 in,100%,92%,29.8 in
Sat.136.00.am,,75.4f,4.5 mph,0.08 in,100%,92%,29.8 in
Sat.139.00.am,,76.1f,9.2 mph,0.25 in,100%,96%,29.9 in
Sat.1312.00.pm,,75.7f,11.4 mph,0.76 in,100%,97%,29.8 in
Sat.133.00.pm,,78.1f,6.5 mph,0.28 in,89%,91%,29.8 in
Sat.136.00.pm,,77.0f,9.2 mph,0.08 in,63%,90%,29.8 in
Sat.138.00.pm,,76.6f,6.5 mph,0.21 in,76%,90%,29.9 in
Sat.130.00.am,,75.0f,3.4 mph,0.06 in,100%,92%,29.8 in
Sat.133.00.am,,75.2f,4.7 mph,0.05 in,100%,92%,29.8 in
Sat.136.00.am,,75.4f,4.5 mph,0.08 in,100%,92%,29.8 in
Sat.139.00.am,,76.1f,9.2 mph,0.25 in,100%,96%,29.9 in
Sat.1312.00.pm,,75.7f,11.4 mph,0.76 in,100%,97%,29.8 in
Sat.133.00.pm,,78.1f,6.5 mph,0.28 in,89%,91%,29.8 in
Sat.136.00.pm,,77.0f,9.2 mph,0.08 in,63%,90%,29.8 in
Sat.138.00.pm,,76.6f,6.5 mph,0.21 in,76%,90%,29.9 in
Sun.140.00.am,,76.8f,5.4 mph,0.04 in,100%,90%,29.8 in
Sun.143.00.am,,75.7f,6.0 mph,0.06 in,71%,91%,29.8 in
Sun.146.00.am,,76.3f,4.5 mph,0.04 in,58%,90%,29.8 in
Sun.149.00.am,,81.5f,10.3 mph,0.04 in,84%,83%,29.9 in
Sun.1412.00.pm,,81.3f,11.6 mph,0.09 in,100%,85%,29.8 in
Sun.143.00.pm,,79.0f,14.3 mph,0.12 in,90%,89%,29.8 in
Sun.146.00.pm,,77.7f,12.8 mph,0.06 in,92%,88%,29.8 in
Sun.148.00.pm,,77.4f,9.6 mph,0.13 in,85%,89%,29.8 in
Sun.140.00.am,,76.8f,5.4 mph,0.04 in,100%,90%,29.8 in
Sun.143.00.am,,75.7f,6.0 mph,0.06 in,71%,91%,29.8 in
Sun.146.00.am,,76.3f,4.5 mph,0.04 in,58%,90%,29.8 in
Sun.149.00.am,,82.4f,10.1 mph,0.04 in,56%,82%,29.9 in
Sun.1412.00.pm,,81.3f,11.9 mph,0.06 in,100%,85%,29.8 in
Sun.143.00.pm,,79.3f,15.0 mph,0.08 in,100%,88%,29.8 in
Sun.146.00.pm,,78.1f,12.5 mph,0.05 in,100%,89%,29.8 in
Sun.148.00.pm,,77.2f,9.4 mph,0.10 in,100%,89%,29.8 in
Sun.140.00.am,,76.8f,5.4 mph,0.04 in,100%,90%,29.8 in
Sun.143.00.am,,75.7f,6.0 mph,0.06 in,71%,91%,29.8 in
Sun.146.00.am,,76.3f,4.5 mph,0.04 in,58%,90%,29.8 in
Sun.149.00.am,,82.4f,10.1 mph,0.04 in,56%,82%,29.9 in
Sun.1412.00.pm,,81.3f,11.9 mph,0.06 in,100%,85%,29.8 in
Sun.143.00.pm,,79.3f,14.5 mph,0.07 in,100%,88%,29.8 in
Sun.146.00.pm,,77.7f,13.0 mph,0.06 in,100%,88%,29.8 in
Sun.148.00.pm,,77.5f,10.1 mph,0.15 in,99%,88%,29.8 in
Mon.150.00.am,,75.7f,7.2 mph,0.07 in,84%,93%,29.8 in
Mon.153.00.am,,75.6f,6.0 mph,0.07 in,68%,93%,29.8 in
Mon.156.00.am,,75.9f,5.8 mph,0.02 in,58%,91%,29.8 in
Mon.159.00.am,,81.0f,6.0 mph,0.02 in,72%,82%,29.8 in
Mon.1512.00.pm,,86.5f,9.8 mph,0.01 in,70%,70%,29.8 in
Mon.153.00.pm,,83.5f,10.3 mph,0.01 in,79%,74%,29.7 in
Mon.156.00.pm,,77.4f,6.3 mph,0.02 in,69%,89%,29.7 in
Mon.158.00.pm,,76.6f,5.8 mph,0.04 in,51%,90%,29.8 in
Mon.150.00.am,,75.7f,7.2 mph,0.07 in,84%,93%,29.8 in
Mon.153.00.am,,75.6f,6.0 mph,0.07 in,68%,93%,29.8 in
Mon.156.00.am,,75.9f,5.8 mph,0.02 in,58%,91%,29.8 in
Mon.159.00.am,,80.6f,5.1 mph,0.02 in,61%,83%,29.8 in
Mon.1512.00.pm,,85.3f,8.9 mph,0.00 in,37%,66%,29.8 in
Mon.153.00.pm,,84.6f,10.7 mph,0.00 in,70%,71%,29.7 in
Mon.156.00.pm,,77.4f,8.9 mph,0.05 in,88%,87%,29.7 in
Mon.158.00.pm,,76.8f,8.5 mph,0.20 in,72%,89%,29.8 in
Mon.150.00.am,,75.7f,7.2 mph,0.07 in,84%,93%,29.8 in
Mon.153.00.am,,75.6f,6.0 mph,0.07 in,68%,93%,29.8 in
Mon.156.00.am,,75.9f,5.8 mph,0.02 in,58%,91%,29.8 in
Mon.159.00.am,,80.6f,5.1 mph,0.02 in,61%,83%,29.8 in
Mon.1512.00.pm,,85.3f,8.9 mph,0.00 in,37%,66%,29.8 in
Mon.153.00.pm,,83.1f,9.6 mph,0.00 in,68%,74%,29.7 in
Mon.156.00.pm,,76.1f,7.2 mph,0.02 in,100%,89%,29.8 in
Mon.158.00.pm,,76.1f,4.9 mph,0.08 in,97%,90%,29.8 in
Tue.160.00.am,,75.2f,3.8 mph,0.02 in,59%,90%,29.8 in
Tue.163.00.am,,74.7f,4.0 mph,0.01 in,78%,91%,29.7 in
Tue.166.00.am,,74.8f,3.1 mph,0.00 in,77%,90%,29.8 in
Tue.169.00.am,,82.8f,4.3 mph,0.00 in,58%,74%,29.8 in
Tue.1612.00.pm,,88.2f,8.5 mph,0.00 in,20%,63%,29.7 in
Tue.163.00.pm,,85.5f,8.5 mph,0.00 in,24%,69%,29.7 in
Tue.166.00.pm,,78.6f,6.0 mph,0.01 in,77%,86%,29.7 in
Tue.168.00.pm,,77.4f,5.8 mph,0.02 in,76%,87%,29.8 in
Tue.160.00.am,,75.9f,3.8 mph,0.02 in,93%,91%,29.8 in
Tue.163.00.am,,75.6f,3.6 mph,0.02 in,100%,90%,29.7 in
Tue.166.00.am,,75.6f,3.1 mph,0.02 in,75%,90%,29.8 in
Tue.169.00.am,,81.3f,3.8 mph,0.02 in,57%,78%,29.8 in
Tue.1612.00.pm,,86.9f,7.2 mph,0.00 in,42%,66%,29.7 in
Tue.163.00.pm,,84.9f,7.6 mph,0.00 in,88%,70%,29.7 in
Tue.166.00.pm,,78.6f,5.4 mph,0.00 in,82%,86%,29.7 in
Tue.168.00.pm,,77.5f,4.9 mph,0.01 in,71%,88%,29.8 in
Tue.160.00.am,,75.9f,3.8 mph,0.02 in,93%,91%,29.8 in
Tue.163.00.am,,75.4f,4.0 mph,0.02 in,100%,91%,29.7 in
Tue.166.00.am,,75.2f,3.1 mph,0.03 in,100%,91%,29.8 in
Tue.169.00.am,,82.0f,3.1 mph,0.02 in,73%,76%,29.8 in
Tue.1612.00.pm,,86.5f,6.7 mph,0.01 in,79%,67%,29.7 in
Tue.163.00.pm,,84.2f,8.3 mph,0.00 in,45%,70%,29.7 in
Tue.166.00.pm,,78.3f,5.1 mph,0.00 in,26%,86%,29.7 in
Tue.168.00.pm,,77.5f,4.7 mph,0.00 in,86%,88%,29.8 in
Tue.160.00.am,,75.9f,3.8 mph,0.02 in,93%,91%,29.8 in
Tue.163.00.am,,75.4f,4.0 mph,0.02 in,100%,91%,29.7 in
Tue.166.00.am,,75.2f,3.1 mph,0.03 in,100%,91%,29.8 in
Tue.169.00.am,,82.2f,3.4 mph,0.01 in,83%,76%,29.8 in
Tue.1612.00.pm,,86.9f,6.9 mph,0.00 in,83%,67%,29.7 in
Tue.163.00.pm,,84.6f,8.3 mph,0.00 in,47%,71%,29.7 in
Tue.166.00.pm,,78.4f,4.9 mph,0.00 in,81%,86%,29.8 in
Tue.168.00.pm,,77.4f,4.7 mph,0.01 in,78%,89%,29.8 in
Tue.160.00.am,,75.9f,3.8 mph,0.02 in,93%,91%,29.8 in
Tue.163.00.am,,75.4f,4.0 mph,0.02 in,100%,91%,29.7 in
Tue.166.00.am,,75.2f,3.1 mph,0.03 in,100%,91%,29.8 in
Tue.169.00.am,,82.2f,3.4 mph,0.01 in,83%,76%,29.8 in
Tue.1612.00.pm,,86.9f,6.9 mph,0.00 in,83%,67%,29.7 in
Tue.163.00.pm,,84.6f,8.3 mph,0.00 in,47%,71%,29.7 in
Tue.166.00.pm,,78.4f,4.9 mph,0.00 in,81%,86%,29.8 in
Tue.168.00.pm,,77.4f,4.7 mph,0.01 in,78%,89%,29.8 in
V1,V2,V3,V4,V5,V6,V7,
Var.1,Icon,Temp,Wind,Precip,Cloud,Humidity,Pressure
Wed.170.00.am,,75.6f,4.0 mph,0.00 in,24%,89%,29.8 in
Wed.173.00.am,,74.7f,4.7 mph,0.00 in,14%,90%,29.7 in
Wed.176.00.am,,74.7f,4.5 mph,0.00 in,17%,90%,29.8 in
Wed.179.00.am,,83.3f,4.3 mph,0.00 in,20%,71%,29.8 in
Wed.1712.00.pm,,88.3f,7.6 mph,0.00 in,19%,65%,29.8 in
Wed.173.00.pm,,85.5f,7.8 mph,0.00 in,25%,70%,29.7 in
Wed.176.00.pm,,78.6f,4.3 mph,0.01 in,73%,87%,29.8 in
Wed.178.00.pm,,77.7f,4.5 mph,0.04 in,77%,89%,29.8 in
